first_author,study_ID,effect_size_ID,year_published,citation,journal,level,phyllum,class,order,family,common_name,scientific_name,scientific_name_OTL,strain,developmental_stage,includes_body_size,body_size,size_unit,pop_source,temp,exposure_method,vehicle,bisphenol,bisphenol_conc,bispheno_unit_paper,bispenol_unit_standardized,Bispheno_corrected_ug,time,time_days,lag,sex,tissue_type,cell_type,cell_gen,molecule_type,molecule,abbreviation,type,role,response,response_unit,mean_control,sd_control,se_control,n_control,mean_treat,sd_treat,se_treat,n_treat,tool,mean_c_1,mean_t_1,pooled_sd,hedges_calc,hedges_abs,lnRR,lnRR_variance
Ullah,46,622,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPA,50,ug/L,ug/L,50,22 days,22,80,Male,Blood,NA,NA,Hormone,Estradiol,E2,Estrogen,Reproductive,Circulating level,pg/mL,1.27,0.254558441,0.09,8,3.6,1.074802307,0.38,8,metadigitize,2.27,4.6,0.781024968,2.983259302,2.983259302,1.041916945,0.016163985
Ullah,46,623,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPA,5,ug/L,ug/L,5,22 days,22,80,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,ng/mL,1.67,0.169705627,0.06,8,1.56,0.169705627,0.06,8,metadigitize,2.67,2.56,0.169705627,-0.648181216,0.648181216,-0.068137805,0.002770121
Ullah,46,624,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPA,25,ug/L,ug/L,25,22 days,22,80,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,ng/mL,1.67,0.169705627,0.06,8,1.45,0.113137085,0.04,8,metadigitize,2.67,2.45,0.144222051,-1.52542554,1.52542554,-0.14126007,0.00205183
Ullah,46,625,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPA,50,ug/L,ug/L,50,22 days,22,80,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,ng/mL,1.67,0.169705627,0.06,8,1.16,0.084852814,0.03,8,metadigitize,2.67,2.16,0.134164079,-3.801315562,3.801315562,-0.364403621,0.001959678
Ullah,46,626,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPA,5,ug/L,ug/L,5,22 days,22,80,Male,Blood,NA,NA,Hormone,Follicle Stimulating Hormone,FSH,Pituitary,Reproductive,Circulating level,mIU/mL,1.41,0.537401154,0.19,8,0.91,0.509116882,0.18,8,metadigitize,2.41,1.91,0.523450093,-0.9552009,0.9552009,-0.437900384,0.05728375
Ullah,46,627,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPA,25,ug/L,ug/L,25,22 days,22,80,Male,Blood,NA,NA,Hormone,Follicle Stimulating Hormone,FSH,Pituitary,Reproductive,Circulating level,mIU/mL,1.41,0.537401154,0.19,8,0.93,0.509116882,0.18,8,metadigitize,2.41,1.93,0.523450093,-0.916992864,0.916992864,-0.416160397,0.055619018
Ullah,46,628,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPA,50,ug/L,ug/L,50,22 days,22,80,Male,Blood,NA,NA,Hormone,Follicle Stimulating Hormone,FSH,Pituitary,Reproductive,Circulating level,mIU/mL,1.41,0.537401154,0.19,8,0.57,0.141421356,0.05,8,metadigitize,2.41,1.57,0.392937654,-2.137743714,2.137743714,-0.905708623,0.025852716
Ullah,46,629,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPB,5,ug/L,ug/L,5,22 days,22,80,Male,Blood,NA,NA,Hormone,Testosterone,T,Androgen,Reproductive,Circulating level,ng/mL,4.82,0.113137085,0.04,8,4.45,0.367695526,0.13,8,metadigitize,5.82,5.45,0.27202941,-1.360147051,1.360147051,-0.079869832,0.000922297
Ullah,46,630,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPB,25,ug/L,ug/L,25,22 days,22,80,Male,Blood,NA,NA,Hormone,Testosterone,T,Androgen,Reproductive,Circulating level,ng/mL,4.82,0.113137085,0.04,8,4.41,0.90509668,0.32,8,metadigitize,5.82,5.41,0.64498062,-0.635678015,0.635678015,-0.088899239,0.005334165
Ullah,46,631,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPB,50,ug/L,ug/L,50,22 days,22,80,Male,Blood,NA,NA,Hormone,Testosterone,T,Androgen,Reproductive,Circulating level,ng/mL,4.82,0.113137085,0.04,8,3.36,0.848528137,0.3,8,metadigitize,5.82,4.36,0.605309838,-2.411987892,2.411987892,-0.360832954,0.008040808
Ullah,46,632,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPB,5,ug/L,ug/L,5,22 days,22,80,Male,Blood,NA,NA,Hormone,Estradiol,E2,Estrogen,Reproductive,Circulating level,pg/mL,1.27,0.254558441,0.09,8,1.87,1.103086579,0.39,8,metadigitize,2.27,2.87,0.800499844,0.749531689,0.749531689,0.38692153,0.048517678
Ullah,46,633,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPB,25,ug/L,ug/L,25,22 days,22,80,Male,Blood,NA,NA,Hormone,Estradiol,E2,Estrogen,Reproductive,Circulating level,pg/mL,1.27,0.254558441,0.09,8,2.01,1.159655121,0.41,8,metadigitize,2.27,3.01,0.839523674,0.881452212,0.881452212,0.459117822,0.046629891
Ullah,46,634,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPB,50,ug/L,ug/L,50,22 days,22,80,Male,Blood,NA,NA,Hormone,Estradiol,E2,Estrogen,Reproductive,Circulating level,pg/mL,1.27,0.254558441,0.09,8,3.55,1.13137085,0.4,8,metadigitize,2.27,4.55,0.82,2.780487805,2.780487805,1.027930703,0.017717904
Ullah,46,635,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPB,5,ug/L,ug/L,5,22 days,22,80,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,ng/mL,1.67,0.169705627,0.06,8,1.54,0.113137085,0.04,8,metadigitize,2.67,2.54,0.144222051,-0.901387819,0.901387819,-0.08104121,0.001965482
Ullah,46,636,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPB,25,ug/L,ug/L,25,22 days,22,80,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,ng/mL,1.67,0.169705627,0.06,8,1.49,0.113137085,0.04,8,metadigitize,2.67,2.49,0.144222051,-1.248075442,1.248075442,-0.114047506,0.00201152
Ullah,46,637,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPB,50,ug/L,ug/L,50,22 days,22,80,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,ng/mL,1.67,0.169705627,0.06,8,1.18,0.056568542,0.02,8,metadigitize,2.67,2.18,0.126491106,-3.873790134,3.873790134,-0.347309188,0.001578105
Ullah,46,638,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPB,5,ug/L,ug/L,5,22 days,22,80,Male,Blood,NA,NA,Hormone,Follicle Stimulating Hormone,FSH,Pituitary,Reproductive,Circulating level,mIU/mL,1.41,0.537401154,0.19,8,0.92,0.650538239,0.23,8,metadigitize,2.41,1.92,0.596657356,-0.821241866,0.821241866,-0.426971313,0.08065804
Ullah,46,639,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPB,25,ug/L,ug/L,25,22 days,22,80,Male,Blood,NA,NA,Hormone,Follicle Stimulating Hormone,FSH,Pituitary,Reproductive,Circulating level,mIU/mL,1.41,0.537401154,0.19,8,0.97,0.622253967,0.22,8,metadigitize,2.41,1.97,0.581377674,-0.756823008,0.756823008,-0.374048912,0.069598151
Ullah,46,640,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPB,50,ug/L,ug/L,50,22 days,22,80,Male,Blood,NA,NA,Hormone,Follicle Stimulating Hormone,FSH,Pituitary,Reproductive,Circulating level,mIU/mL,1.41,0.537401154,0.19,8,0.54,0.056568542,0.02,8,metadigitize,2.41,1.54,0.382099463,-2.276894063,2.276894063,-0.959775844,0.019529782
Ullah,46,641,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPF,5,ug/L,ug/L,5,22 days,22,80,Male,Blood,NA,NA,Hormone,Testosterone,T,Androgen,Reproductive,Circulating level,ng/mL,4.82,0.113137085,0.04,8,4.29,0.339411255,0.12,8,metadigitize,5.82,5.29,0.252982213,-2.09500895,2.09500895,-0.116487195,0.000851304
Ullah,46,642,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPF,25,ug/L,ug/L,25,22 days,22,80,Male,Blood,NA,NA,Hormone,Testosterone,T,Androgen,Reproductive,Circulating level,ng/mL,4.82,0.113137085,0.04,8,4.03,0.537401154,0.19,8,metadigitize,5.82,5.03,0.388329757,-2.0343535,2.0343535,-0.179007552,0.002291653
Ullah,46,643,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPF,50,ug/L,ug/L,50,22 days,22,80,Male,Blood,NA,NA,Hormone,Testosterone,T,Androgen,Reproductive,Circulating level,ng/mL,4.82,0.113137085,0.04,8,3.3,1.301076477,0.46,8,metadigitize,5.82,4.3,0.92347171,-1.645962711,1.645962711,-0.37885146,0.01949954
Ullah,46,644,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPF,5,ug/L,ug/L,5,22 days,22,80,Male,Blood,NA,NA,Hormone,Estradiol,E2,Estrogen,Reproductive,Circulating level,pg/mL,1.27,0.254558441,0.09,8,1.33,0.084852814,0.03,8,metadigitize,2.27,2.33,0.18973666,0.316227766,0.316227766,0.046162042,0.005530801
Ullah,46,645,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPF,25,ug/L,ug/L,25,22 days,22,80,Male,Blood,NA,NA,Hormone,Estradiol,E2,Estrogen,Reproductive,Circulating level,pg/mL,1.27,0.254558441,0.09,8,2.38,0.90509668,0.32,8,metadigitize,2.27,3.38,0.664830806,1.669597724,1.669597724,0.628083587,0.023099829
Ullah,46,646,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPF,50,ug/L,ug/L,50,22 days,22,80,Male,Blood,NA,NA,Hormone,Estradiol,E2,Estrogen,Reproductive,Circulating level,pg/mL,1.27,0.254558441,0.09,8,3.28,1.074802307,0.38,8,metadigitize,2.27,4.28,0.781024968,2.573541287,2.573541287,0.948826522,0.01844408
Ullah,46,647,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPF,5,ug/L,ug/L,5,22 days,22,80,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,ng/mL,1.67,0.169705627,0.06,8,1.53,0.254558441,0.09,8,metadigitize,2.67,2.53,0.216333077,-0.647150229,0.647150229,-0.087555891,0.004751039
Ullah,46,648,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPF,25,ug/L,ug/L,25,22 days,22,80,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,ng/mL,1.67,0.169705627,0.06,8,1.48,0.169705627,0.06,8,metadigitize,2.67,2.48,0.169705627,-1.119585737,1.119585737,-0.120781539,0.002934367
Ullah,46,649,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPF,50,ug/L,ug/L,50,22 days,22,80,Male,Blood,NA,NA,Hormone,Luteinizing Hormone,LH,Pituitary,Reproductive,Circulating level,ng/mL,1.67,0.169705627,0.06,8,1.21,0.084852814,0.03,8,metadigitize,2.67,2.21,0.134164079,-3.428637565,3.428637565,-0.322203267,0.001905544
Ullah,46,650,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPF,5,ug/L,ug/L,5,22 days,22,80,Male,Blood,NA,NA,Hormone,Follicle Stimulating Hormone,FSH,Pituitary,Reproductive,Circulating level,mIU/mL,1.41,0.537401154,0.19,8,0.91,0.424264069,0.15,8,metadigitize,2.41,1.91,0.484148737,-1.032740481,1.032740481,-0.437900384,0.045328672
Ullah,46,651,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPF,25,ug/L,ug/L,25,22 days,22,80,Male,Blood,NA,NA,Hormone,Follicle Stimulating Hormone,FSH,Pituitary,Reproductive,Circulating level,mIU/mL,1.41,0.537401154,0.19,8,0.94,0.480832611,0.17,8,metadigitize,2.41,1.94,0.509901951,-0.921745835,0.921745835,-0.405465108,0.050865148
Ullah,46,652,2019,"Ullah, A., M. Pirzada, S. Jahan, H. Ullah, S. Razak, N. Rauf, M. J. Khan, and S. Z. Mahboob. ""Prenatal BPA and its analogs BPB, BPF, and BPS exposure and reproductive axis function in the male offspring of Sprague Dawley rats."" Human & experimental toxicology 38, no. 12 (2019): 1344-1365.",Human and experimental toxicology,Organism,Chordate,Mammalia,Rodentia,Muridae,Lab rat,Rattus norvegicusdomestica ,Rattus norvegicus,Sprague-Dawley,Embryonic,N,NA,NA,Lab,22,Oral,Ethanol,BPF,50,ug/L,ug/L,50,22 days,22,80,Male,Blood,NA,NA,Hormone,Follicle Stimulating Hormone,FSH,Pituitary,Reproductive,Circulating level,mIU/mL,1.41,0.537401154,0.19,8,0.55,0.084852814,0.03,8,metadigitize,2.41,1.55,0.384707681,-2.235463553,2.235463553,-0.941426705,0.021133247
